"","reviewid","label"
"602",22173,"mais um discos"
"603",22113,"khannibalism"
"604",22113,"ernest jenning"
"605",22190,"hw&w"
"606",22190,"ultra"
"607",22172,"stones throw"
"608",22180,"self-released"
"609",22136,"def jam"
"610",22181,"cn records"
"611",22130,"physical editions"
"612",22177,"quality control"
"613",22147,"sargent house"
"614",22175,"technicolour"
"615",22129,"metal blade"
"616",22157,"atlantic"
"617",22128,"burger"
"618",22160,"300 entertainment"
"619",22098,"joyful noise"
"620",22167,"doggy style"
"621",22167,"entertainment one"
"622",22171,"coalmine"
"623",21886,"polydor"
"624",22154,"american bushmen"
"625",22166,"sound signature"
"626",22043,"tommy boy"
"627",22161,"slaughter gang"
"628",22123,"sacred bones"
"629",22144,"partisan"
"630",22176,"the leaf label"
"631",22119,"pluto"
"632",22119,"luaka bop"
"633",22121,"deep entertainment"
"634",22126,"gqom oh!"
"635",22158,"sub rosa"
"636",22156,"closed sessions"
"637",22135,"interscope"
"638",22106,"nu-roots"
"639",22140,"alcopop!"
"640",22140,"lame-o"
"641",22120,"130701"
"642",22110,"true panther"
"643",22138,NA
"644",22127,"the flenser"
"645",22109,"innovative leisure"
"646",22117,"last gang"
"647",22125,"chunklet"
"648",22155,"fragile"
"649",22101,"columbia"
"650",22103,"break world"
"651",22116,"poison city"
"652",22124,"honest jon's"
"653",22087,"planet mu"
"654",21924,"warner bros."
"655",22073,"hardly art"
"656",22141,"self-released"
"657",22062,"international feel"
"658",22108,"130701"
"659",22075,"polydor"
"660",22111,"light in the attic"
"661",22122,"ylylcyn"
"662",22105,"!k7"
"663",22094,"top dawg"
"664",22094,"interscope"
"665",22090,"warp"
"666",22064,"wharf cat"
"667",22064,"spunk"
"668",22064,"faux discx"
"669",22102,"temporary residence"
"670",22093,"self-released"
"671",22100,"feedelity"
"672",22095,"dirtnap"
"673",22095,"fortuna pop!"
"674",22114,"brunette editions"
"675",22057,"columbia"
"676",22097,"true panther"
"677",22088,"dfa"
"678",22099,"rise"
"679",21895,"staubgold"
"680",22085,"play it again sam"
"681",22071,"araabmuzik label group"
"682",22059,"in the red"
"683",22104,"ovo sound"
"684",22035,"columbia"
"685",22035,"ruffhouse"
"686",22060,"because music"
"687",22092,"third man"
"688",22016,"chaos kitchen"
"689",22026,"apron"
"690",22065,"xl"
"691",22065,"emi"
"692",22065,"astralwerks"
"693",22065,"modular"
"694",22091,"glydezone"
"695",22086,"erased tapes"
"696",22015,"roadrunner"
"697",22072,"warp"
"698",22074,"relapse"
"699",22089,"entertainment one"
"700",22027,"culvert music"
"701",22080,"viking wizard eyes"
"702",22083,"rca"
"703",21883,"buzz"
"704",22076,"cinedelic"
"705",22067,"parlophone"
"706",22084,"mute"
"707",22069,"don giovanni"
"708",22056,"melodic"
"709",22054,"island"
"710",22079,"g.o.o.d. music"
"711",22081,"loves way"
"712",22063,"tiny engines"
"713",22082,"leaving"
"714",22077,"free bandz"
"715",22078,"break world"
"716",22066,"manifesto"
"717",22022,"room40"
"718",22052,"domino"
"719",22070,"river tiber"
"720",22029,"transgressive"
"721",22021,"dischord"
"722",22030,"editions mego"
"723",22013,"polyvinyl"
"724",21969,"double double whammy"
"725",22001,"don giovanni"
"726",22055,"columbia"
"727",22041,"debemur morti"
"728",22068,"cinematic"
"729",22042,"trip"
"730",22039,"superior viaduct"
"731",21985,"republic"
"732",22018,"phlex"
"733",22058,"cascine"
"734",21968,"mint"
"735",22053,"reprise"
"736",22019,"mass appeal"
"737",22014,"island"
"738",22014,"umg"
"739",22038,"modern harmonic"
"740",22007,"nonesuch"
"741",22050,"total negativity"
"742",22050,"nervous nelly"
"743",21719,"rca"
"744",21719,"sony"
"745",22012,"telephone explosion"
"746",22012,"felte"
"747",22032,"joyful noise"
"748",22049,"island"
"749",22048,"merge"
"750",22017,"twosyllable"
"751",22005,"sub pop"
"752",21970,"dead oceans"
"753",22036,"self-released"
"754",21971,"tompkins square"
"755",21979,"magic bullet"
"756",21994,"young god"
"757",21988,"def jam"
"758",21984,"olsen"
"759",22000,"rca"
"760",22000,"bystorm"
"761",21992,"warner bros."
"762",22010,"mixpak"
"763",22011,"merge"
"764",22034,"hospital productions"
"765",21951,"kompakt"
"766",22037,"apple"
"767",22024,"anti-"
"768",21884,"fat possum"
"769",22046,"dollaz n dealz"
"770",21982,"nuclear blast"
"771",21973,"reprise"
"772",21726,"virgin emi"
"773",21726,"island"
"774",22033,"superior viaduct"
"775",21991,"!k7"
"776",22004,"sony"
"777",22040,"safehouse"
"778",22040,"island"
"779",21974,"gloriette"
"780",22008,"superior viaduct"
"781",22008,"w.25th"
"782",22006,"merge"
"783",21972,"smalltown supersound"
"784",22031,"empire"
"785",22031,"mozzy records"
"786",21945,"infinity cat"
"787",21995,"interscope"
"788",21965,"glassnote"
"789",21882,"thrill jockey"
"790",22002,"firehouse 12"
"791",21990,"aircheology"
"792",21990,"parlophone"
"793",21885,"proibito"
"794",21967,"warp"
"795",21966,"gronland"
"796",21889,"thrill jockey"
"797",21964,"emi"
"798",21980,"lefse"
"799",21946,"moshi moshi"
