"","reviewid","genre"
"867",21700,"rock"
"868",21911,"electronic"
"869",21869,"rock"
"870",21918,"jazz"
"871",21677,"rock"
"872",21818,"metal"
"873",21784,"rock"
"874",21862,"rock"
"875",21901,"rock"
"876",21858,"rap"
"877",21900,"pop/r&b"
"878",21877,"rock"
"879",21899,"pop/r&b"
"880",21785,"electronic"
"881",21724,"rock"
"882",21908,"global"
"883",21879,"rap"
"884",21879,"experimental"
"885",21876,"electronic"
"886",21820,"electronic"
"887",21859,"rock"
"888",21907,"rock"
"889",21888,"rock"
"890",21678,"jazz"
"891",21878,"folk/country"
"892",21906,"pop/r&b"
"893",21861,"folk/country"
"894",21863,"rap"
"895",21852,"rock"
"896",21782,"electronic"
"897",21783,"electronic"
"898",21855,"rap"
"899",21720,"rock"
"900",21817,"jazz"
"901",21701,"rock"
"902",21701,"global"
"903",21701,"experimental"
"904",21701,"electronic"
"905",21854,"rock"
"906",21856,"rock"
"907",21905,"rock"
"908",21849,"rock"
"909",21860,"rock"
"910",21645,"metal"
"911",21857,"pop/r&b"
"912",21857,"electronic"
"913",21819,"pop/r&b"
"914",21819,"experimental"
"915",21794,"rock"
"916",21810,"rock"
"917",21815,"rock"
"918",21687,"rap"
"919",21804,"electronic"
"920",21853,"rock"
"921",21851,"rock"
"922",21848,"rock"
"923",21848,"electronic"
"924",21653,"rock"
"925",21813,"rock"
"926",21813,"electronic"
"927",21903,"rap"
"928",21816,"rock"
"929",21836,"rap"
"930",21835,"rock"
"931",21850,"pop/r&b"
"932",21801,"experimental"
"933",21845,"rock"
"934",21845,"pop/r&b"
"935",21842,"rock"
"936",21842,"pop/r&b"
"937",21844,"rock"
"938",21844,"pop/r&b"
"939",21846,"rock"
"940",21846,"pop/r&b"
"941",21841,"rock"
"942",21841,"pop/r&b"
"943",21866,"rock"
"944",21866,"pop/r&b"
"945",21843,"rock"
"946",21843,"pop/r&b"
"947",21847,"rock"
"948",21847,"pop/r&b"
"949",21715,"rock"
"950",21839,"rap"
"951",21637,"rap"
"952",21781,"experimental"
"953",21743,"experimental"
"954",21806,"rock"
"955",21806,"experimental"
"956",21834,"electronic"
"957",21825,"rap"
"958",21867,"pop/r&b"
"959",21826,"rap"
"960",21838,"rock"
"961",21837,"rap"
"962",21833,"electronic"
"963",21797,"jazz"
"964",21762,"metal"
"965",21762,"experimental"
"966",21717,"rock"
"967",21814,"rock"
"968",21814,"experimental"
"969",21694,"experimental"
"970",21799,"jazz"
"971",21840,"rap"
"972",21744,"rock"
"973",21714,"rock"
"974",21696,"global"
"975",21696,"electronic"
"976",21832,"metal"
"977",21827,"rock"
"978",21808,"rock"
"979",21807,"experimental"
"980",21792,"rock"
"981",21695,"electronic"
"982",21709,"rap"
"983",21778,"electronic"
"984",21708,"rock"
"985",21809,"rock"
"986",21758,"folk/country"
"987",21791,"rock"
"988",21699,"experimental"
"989",21831,"experimental"
"990",21831,"electronic"
"991",21822,"rock"
"992",21822,"experimental"
"993",21800,"rock"
"994",21733,"rock"
"995",21729,"rap"
"996",21824,"rap"
"997",21681,"rock"
"998",21680,"experimental"
"999",21829,"rap"
"1000",21636,"folk/country"
"1001",21703,"experimental"
"1002",21698,"rock"
"1003",21749,"rock"
"1004",21749,"experimental"
"1005",21697,"rock"
"1006",21742,"rock"
"1007",21780,"electronic"
"1008",21755,"metal"
"1009",21688,"pop/r&b"
"1010",21812,"rap"
"1011",21716,"rock"
"1012",21732,"metal"
"1013",21732,"electronic"
"1014",21547,"rock"
"1015",21547,"metal"
"1016",21562,"experimental"
"1017",21811,"rock"
"1018",21770,"pop/r&b"
"1019",21752,"pop/r&b"
"1020",21769,"rock"
"1021",21769,"electronic"
"1022",21690,"electronic"
"1023",21679,"rock"
"1024",21803,"pop/r&b"
"1025",21693,"rock"
"1026",21597,"rock"
"1027",21748,"rock"
"1028",21767,"pop/r&b"
"1029",21594,"rock"
"1030",21704,"rock"
"1031",21635,"experimental"
"1032",21796,"rap"
"1033",21796,"experimental"
"1034",21750,"rock"
"1035",21805,"pop/r&b"
"1036",21587,"rock"
"1037",21775,"pop/r&b"
"1038",21766,"electronic"
"1039",21751,"rock"
"1040",21728,"rock"
"1041",21674,"jazz"
"1042",21756,"pop/r&b"
"1043",21768,"rock"
"1044",21768,"electronic"
"1045",21596,"rock"
"1046",21747,"rock"
"1047",21776,"rock"
"1048",21628,"electronic"
"1049",21627,"electronic"
"1050",21576,"electronic"
"1051",21633,"rock"
"1052",21633,"metal"
"1053",21757,"rock"
"1054",21757,"electronic"
"1055",21765,"rock"
"1056",21779,"rock"
"1057",21741,"rap"
"1058",21626,"electronic"
"1059",21777,"rock"
"1060",21777,"pop/r&b"
"1061",21777,"folk/country"
"1062",21790,"rap"
"1063",21763,"pop/r&b"
"1064",21595,"rock"
"1065",21538,"rock"
"1066",21537,"rock"
"1067",21593,"rock"
"1068",21789,"rap"
"1069",21551,"electronic"
"1070",21660,"folk/country"
"1071",21710,"pop/r&b"
"1072",21710,"electronic"
"1073",21764,"pop/r&b"
"1074",21754,"electronic"
"1075",21788,"rap"
"1076",21629,"rock"
"1077",21652,"electronic"
"1078",21686,"rock"
"1079",21761,"electronic"
"1080",21740,"rap"
"1081",21535,"jazz"
"1082",21535,"experimental"
"1083",21746,"electronic"
"1084",21656,"electronic"
"1085",21685,"metal"
"1086",21625,"electronic"
"1087",21702,"electronic"
"1088",21641,"experimental"
"1089",21712,"rap"
"1090",21759,"rock"
"1091",21664,"rap"
"1092",21745,"folk/country"
"1093",21737,"experimental"
"1094",21518,"jazz"
"1095",21683,"pop/r&b"
"1096",21738,"electronic"
"1097",21773,"rap"
"1098",21615,"pop/r&b"
"1099",21707,"rap"
"1100",21550,"rock"
